time,temperature_avg,temperature_min,temperature_max,relative_humidity,sunshine_duration,wind_velocity,precipitation,solar_radiation,evaporation
2020-07-01,26.8,22.8,33,78.267,8,0.709,0,578.24,4.78
2020-07-02,24.725,23.5,31.2,90.656,2,0.541,0,472.16,2.7
2020-07-03,26.5,22.6,31.7,81.040,3,0.559,19,208,3.61
2020-07-04,25.975,21.2,29.5,87.339,0.1,0.608,32.7,249.6,7.83
2020-07-05,25.725,21.4,31.5,79.026,8,0.365,0,74.88,2.87
2020-07-06,24.95,20.4,32,82.868,6,0.938,0,447.2,4.16
2020-07-07,26.525,22.2,32,80.757,7.3,0.654,25.3,374.4,4.95
2020-07-08,25.65,23.2,31.5,86.594,5.5,0.589,0,422.24,4.89
2020-07-09,25.225,21,31.4,84.683,4.3,0.628,50.6,388.96,0
2020-07-10,25.6,22.2,30.5,85.868,2.7,0.454,1,416,3.44
2020-07-11,26.9,22.2,32,78.248,6.7,0.381,0.1,216.32,2.01
2020-07-12,26.175,23.5,32.6,83.025,8,0.527,0,309.92,3.91
2020-07-13,26.475,22.9,31.5,82.763,5,0.531,6.9,517.92,2.9
2020-07-14,25.775,22.8,31,87.438,4.1,0.568,1.1,347.36,2.01
2020-07-15,25.925,23,29.6,87.877,0,0.470,6.8,295.36,0.42
2020-07-16,26.5,23.4,30.4,82.352,0.3,0.513,0,52,2.07
2020-07-17,26.15,21.8,31.6,81.675,7.8,0.670,0,81.12,2.41
2020-07-18,26.85,22.8,33.4,77.799,7.9,0.578,0,495.04,2.97
2020-07-19,26.675,23,33,81.462,7.4,0.531,0,605.28,4.24
2020-07-20,26.225,23.2,32.3,85.720,7.3,0.580,1.2,530.4,3.26
2020-07-21,26,22.6,32.6,85.952,6.2,0.469,11.5,401.44,4.58
2020-07-22,26.75,22.6,31.8,83.991,7.1,0.694,16.5,482.56,4.46
2020-07-23,26.325,22.6,33,82.768,7.4,0.695,12.5,376.48,6.38
2020-07-24,26.75,22.8,32.6,80.308,7.5,0.522,1.1,482.56,3.27
2020-07-25,26.65,22.8,32,76.062,6.4,0.733,0,499.2,3.53
2020-07-26,25.95,21.3,32.2,72.030,6.9,0.608,0,374.4,3.99
2020-07-27,26.1,21.4,32.8,76.431,7.9,0.665,0,551.2,3.07
2020-07-28,25.9,21.2,32.8,77.927,7.7,0.484,0,557.44,2.9
2020-07-29,25.975,21.2,32.7,75.963,7.9,0.606,0,676,4.34
2020-07-30,26.625,22,31.5,73.387,7.9,0.571,0,480.48,4.19
